velocity,moving1,heartrate,grade,lat,lon
4.90E+00,0.00E+00,1.37E+02,-4.80E+00,4.44E+01,8.95E+00
9.10E+00,0.00E+00,1.35E+02,-4.80E+00,4.44E+01,8.93E+00
9.10E+00,7.90E+01,1.42E+02,-4.80E+00,4.44E+01,8.93E+00
3.00E+00,0.00E+00,1.20E+02,-4.80E+00,4.44E+01,8.91E+00
1.14E+01,1.12E+02,1.53E+02,-4.80E+00,4.44E+01,8.91E+00
7.00E+00,0.00E+00,1.49E+02,-4.80E+00,4.44E+01,8.85E+00
1.34E+01,1.00E+02,1.36E+02,-4.80E+00,4.44E+01,8.66E+00
1.10E+01,9.20E+01,1.50E+02,-4.80E+00,4.44E+01,8.60E+00
1.30E+01,1.11E+02,1.47E+02,-4.80E+00,4.44E+01,8.60E+00
1.32E+01,9.70E+01,1.47E+02,-4.80E+00,4.44E+01,8.60E+00
1.41E+01,1.03E+02,1.40E+02,-4.80E+00,4.44E+01,8.60E+00
1.52E+01,0.00E+00,1.40E+02,-4.80E+00,4.44E+01,8.59E+00
1.53E+01,0.00E+00,1.37E+02,-4.80E+00,4.44E+01,8.59E+00
1.56E+01,0.00E+00,1.32E+02,-4.80E+00,4.44E+01,8.59E+00
1.56E+01,0.00E+00,1.24E+02,-4.80E+00,4.44E+01,8.59E+00
1.55E+01,1.11E+02,1.28E+02,-4.80E+00,4.44E+01,8.59E+00
1.55E+01,1.11E+02,1.29E+02,-4.80E+00,4.44E+01,8.59E+00
7.00E+00,0.00E+00,1.49E+02,-4.80E+00,4.44E+01,8.57E+00
1.18E+01,0.00E+00,1.50E+02,-4.80E+00,4.43E+01,8.54E+00
1.00E+01,0.00E+00,1.46E+02,-4.70E+00,4.44E+01,8.98E+00
9.60E+00,1.00E+02,1.37E+02,-4.70E+00,4.44E+01,8.95E+00
9.20E+00,0.00E+00,1.42E+02,-4.70E+00,4.44E+01,8.76E+00
1.11E+01,9.50E+01,1.50E+02,-4.70E+00,4.44E+01,8.60E+00
1.56E+01,1.14E+02,1.32E+02,-4.70E+00,4.44E+01,8.59E+00
1.57E+01,1.14E+02,1.42E+02,-4.70E+00,4.44E+01,8.59E+00
7.60E+00,0.00E+00,1.51E+02,-4.70E+00,4.44E+01,8.57E+00
1.00E+01,0.00E+00,1.47E+02,-4.70E+00,4.43E+01,8.56E+00
1.18E+01,1.09E+02,1.50E+02,-4.70E+00,4.43E+01,8.55E+00
7.70E+00,0.00E+00,1.60E+02,-4.70E+00,4.43E+01,8.47E+00
1.16E+01,0.00E+00,1.38E+02,-4.60E+00,4.44E+01,8.66E+00
1.02E+01,8.70E+01,1.55E+02,-4.60E+00,4.44E+01,8.60E+00
1.20E+01,0.00E+00,1.53E+02,-4.60E+00,4.44E+01,8.60E+00
9.80E+00,0.00E+00,1.46E+02,-4.50E+00,4.44E+01,8.98E+00
9.80E+00,0.00E+00,1.31E+02,-4.50E+00,4.44E+01,8.97E+00
1.11E+01,0.00E+00,1.30E+02,-4.50E+00,4.44E+01,8.87E+00
8.10E+00,0.00E+00,1.52E+02,-4.50E+00,4.44E+01,8.85E+00
0.00E+00,4.30E+01,1.67E+02,-4.50E+00,4.44E+01,8.66E+00
1.04E+01,8.10E+01,1.53E+02,-4.50E+00,4.44E+01,8.66E+00
1.14E+01,0.00E+00,1.49E+02,-4.50E+00,4.44E+01,8.66E+00
8.20E+00,0.00E+00,1.50E+02,-4.50E+00,4.44E+01,8.63E+00
1.15E+01,9.70E+01,1.54E+02,-4.50E+00,4.44E+01,8.60E+00
1.18E+01,9.70E+01,1.54E+02,-4.50E+00,4.44E+01,8.60E+00
1.29E+01,1.09E+02,1.42E+02,-4.50E+00,4.44E+01,8.60E+00
1.39E+01,1.18E+02,1.40E+02,-4.50E+00,4.44E+01,8.60E+00
1.56E+01,0.00E+00,1.40E+02,-4.50E+00,4.44E+01,8.59E+00
9.80E+00,0.00E+00,1.29E+02,-4.40E+00,4.44E+01,8.93E+00
